WD22CD,WD22NM,mean
E05013898,Markhouse,0.27645549577022893
E05013899,St James,0.4726669099505536
E05013900,Upper Walthamstow,0.7593034175977496
E05013901,Valley,0.4242660062970395
E05013902,William Morris,0.30258743991636405
E05013903,Wood Street,0.25149115619753737
E05013904,Beckton,0.40290989010642875
E05013905,Boleyn,0.16183588236150126
E05013906,Canning Town North,0.2837921049737933
E05013907,Canning Town South,0.20068399327038874
E05013908,Custom House,0.4186908374179828
E05013909,East Ham,0.17727247574205368
E05013910,East Ham South,0.3536304312286566
E05013911,Forest Gate North,0.28996868950022714
E05013912,Forest Gate South,0.22177548349571044
E05013913,Green Street East,0.07663089518415332
E05013914,Green Street West,0.0672075762121548
E05013915,Little Ilford,0.5854686648594745
E05013916,Manor Park,0.36694818670900264
E05013917,Maryland,0.23967143823011858
E05013918,Plaistow North,0.15730243118201562
E05013919,Plaistow South,0.254551952942792
E05013920,Plaistow West & Canning Town East,0.29658850237901835
E05013921,Plashet,0.25145192027251656
E05013922,Royal Albert,0.13856635514343943
E05013923,Royal Victoria,0.14493953399366835
E05013924,Stratford,0.22447092413161254
E05013925,Stratford Olympic Park,0.21606480132743902
E05013926,Wall End,0.38177956048400585
E05013927,West Ham,0.36884086143491746
E05013928,Alexandra,0.6766692604031904
E05013929,Berrylands,0.7558780083881562
E05013930,Canbury Gardens,0.3835517392564026
E05013931,Chessington South & Malden Rushett,0.8797305966271569
E05013932,Coombe Hill,0.8845536050733761
E05013933,Coombe Vale,0.6898535583695083
E05013934,Green Lane & St James,0.6001362524490789
E05013935,Hook & Chessington North,0.6349521492221476
E05013936,King George's & Sunray,0.7175216304305149
E05013937,Kingston Gate,0.4674053871164736
E05013938,Kingston Town,0.33666952412783346
E05013939,Motspur Park & Old Malden East,0.6980624968105191
E05013940,New Malden Village,0.5966276536354249
E05013941,Norbiton,0.5328726779506685
E05013942,Old Malden,0.7379224375302939
E05013943,St Mark's & Seething Wells,0.5806796222120905
E05013944,Surbiton Hill,0.6846898047267849
E05013945,Tolworth,0.43723649999482045
E05013946,Tudor,0.671399780303942
E05013967,Beam Park,0.380887474031894
E05013968,Cranham,0.7234450230710088
E05013969,Elm Park,0.6399967688382302
E05013970,Emerson Park,0.7252118765049061
E05013971,Gooshays,0.8495132145719517
E05013972,Hacton,0.5619834525261662
E05013973,Harold Wood,0.8165364786996056
E05013974,Havering-atte-Bower,0.8474610057633137
E05013975,Heaton,0.5384869160389426
E05013976,Hylands & Harrow Lodge,0.5692921896183546
E05013977,Marshalls & Rise Park,0.7034865926103763
E05013978,Mawneys,0.5298892248507201
E05013979,Rainham & Wennington,0.6891859974827935
E05013980,Rush Green & Crowlands,0.576127870064227
E05013981,St Alban's,0.3272628461065449
E05013982,St Andrew's,0.5110170908482908
E05013983,St Edward's,0.3258927548155862
E05013984,South Hornchurch,0.6692383625278233
E05013985,Squirrels Heath,0.5275066292332594
E05013986,Upminster,0.8499296869866168
E05013987,Beckenham Town & Copers Cope,0.7739279505867898
E05013988,Bickley & Sundridge,0.818835709982547
E05013989,Biggin Hill,0.8125786449236061
E05013990,Bromley Common & Holwood,0.8028191119370199
E05013991,Bromley Town,0.5713233931018286
E05013992,Chelsfield,0.8972969754409306
E05013993,Chislehurst,0.8883286386290358
E05013994,Clock House,0.5936172027897603
E05013995,Crystal Palace & Anerley,0.7169088837635812
E05013996,Darwin,0.9719924668198697
E05013997,Farnborough & Crofton,0.7566155936176874
E05013998,Hayes & Coney Hall,0.9084979767072253
E05013999,Kelsey & Eden Park,0.7434047674371728
E05014000,Mottingham,0.7438166903558097
E05014001,Orpington,0.7268337140249584
E05014002,Penge & Cator,0.6009128094917889
E05014003,Petts Wood & Knoll,0.7141559202282092
E05014004,Plaistow,0.6469103670127213
E05014005,Shortlands & Park Langley,0.7985929692541319
E05014006,St Mary Cray,0.7873870713525073
E05014007,St Paul's Cray,0.7923683466382437
E05014008,West Wickham,0.7147092147945804
E05014009,Balham,0.28084259765506325
E05014010,Battersea Park,0.5360351769303313
E05014011,East Putney,0.4258048634443299
E05014012,Falconbrook,0.30728734229267224
E05014013,Furzedown,0.46840659340659385
E05014014,Lavender,0.15996768531077968
E05014015,Nine Elms,0.02479415790957039
E05014016,Northcote,0.4456639529193641
E05014017,Roehampton,0.8027946091557079
E05014018,St Mary's,0.16472831267874166
E05014019,Shaftesbury & Queenstown,0.18665679706253835
E05014020,South Balham,0.6121759207344597
E05014021,Southfields,0.30216672042095044
E05014022,Thamesfield,0.3330648922928647
E05014023,Tooting Bec,0.23574163482598212
E05014024,Tooting Broadway,0.2644652691693338
E05014025,Trinity,0.31024285221836734
E05014026,Wandle,0.4451895251712883
E05014027,Wandsworth Common,0.5833567504040413
E05014028,Wandsworth Town,0.3304804321259364
E05014029,West Hill,0.6667557133279736
E05014030,West Putney,0.6944334980255871
E05014053,Abbey,0.21902170987929165
E05014054,Alibon,0.3016441513975287
E05014055,Barking Riverside,0.25265381673779214
E05014056,Beam,0.18756834317475055
E05014057,Becontree,0.3389849380950138
E05014058,Chadwell Heath,0.5987535975246875
E05014059,Eastbrook & Rush Green,0.7768174915044042
E05014060,Eastbury,0.3606059411026544
E05014061,Gascoigne,0.24073377411193772
E05014062,Goresbrook,0.3973784842675319
E05014063,Heath,0.4058280675600129
E05014064,Longbridge,0.4899123507566987
E05014065,Mayesbrook,0.41962242036557573
E05014066,Northbury,0.2233463018420402
E05014067,Parsloes,0.48501592547994254
E05014068,Thames View,0.30279008792054374
E05014069,Valence,0.3764476980663659
E05014070,Village,0.6137886708532497
E05014071,Whalebone,0.25933739750825285
E05014072,Abbey Wood,0.6060289785366444
E05014073,Blackheath Westcombe,0.6609907349972278
E05014074,Charlton Hornfair,0.47877495696369765
E05014075,Charlton Village & Riverside,0.4682154949334952
E05014076,East Greenwich,0.1789103646123865
E05014077,Eltham Page,0.5597660170110585
E05014078,Eltham Park & Progress,0.7374522697241788
E05014079,Eltham Town & Avery Hill,0.7389322158682323
E05014080,Greenwich Creekside,0.19892127982529287
E05014081,Greenwich Park,0.6167650261589676
E05014082,Greenwich Peninsula,0.10425439262342896
E05014083,Kidbrooke Park,0.6604092883001028
E05014084,Kidbrooke Village & Sutcliffe,0.654799193381203
E05014085,Middle Park & Horn Park,0.7447783366403008
E05014086,"Mottingham, Coldharbour & New Eltham",0.6619211012194474
E05014087,Plumstead & Glyndon,0.3001822924385691
E05014088,Plumstead Common,0.6360042491431137
E05014089,Shooters Hill,0.7773298153605323
E05014090,Thamesmead Moorings,0.587191300128557
E05014091,West Thamesmead,0.3995018755125914
E05014092,Woolwich Arsenal,0.1683058773723457
E05014093,Woolwich Common,0.5641986807214395
